asset,feature,horizon_days,n,pearson_r,spearman_r,naive_p,nw_p,nw_q
BTC,Price_vs_MA7,3,2335,0.02784825820070567,-0.005045218079932593,0.8074901143330433,0.4474381951919725,0.615674956584154
BTC,Volatility_30d,3,2311,0.050822312991036615,0.02392297302161215,0.2503135724445624,0.15106373434724707,0.3821023868783308
BTC,ExchangeNetFlow,3,2341,-0.010622481772444051,0.013914945187792377,0.5009905171578295,0.620862455810187,0.7164622156589915
BTC,ExchangeNetFlow_7d_MA,3,2335,-0.06062456478738005,-0.043227119174982974,0.03673729187725646,0.02934206276833499,0.15293438776223087
BTC,Puell_Multiple,3,1977,0.044618344831111656,0.032756203924455225,0.14541363939322025,0.3319319503875846,0.5489643794871591
BTC,HashRate_30d_MA,3,2312,-0.04127474049098936,-0.058734565705882515,0.004727159137046884,0.1586099397499635,0.38423816390132004
BTC,HashRate_vs_MA30,3,2312,0.025348511048587312,0.030924449685911536,0.1371469791098533,0.31192865335907716,0.5467220913859736
BTC,AdrActCnt,7,2337,0.05964198540162882,0.049833176837298425,0.01598447734212367,0.20526970207580497,0.45264600970562124
BTC,CapMVRVCur,7,2337,0.017871337433721934,-0.007559292822929037,0.7149285060591363,0.7476286389441621,0.7987088565117757
BTC,HashRate,7,2337,-0.06507497749234199,-0.08408090103277281,4.7070353697470965e-05,0.11549484469956954,0.3485107594443151
BTC,FlowInExUSD,7,2337,-0.0732740792176735,-0.07708372817230268,0.00019149554500319597,0.04271355722292968,0.19856032006334878
BTC,FlowOutExUSD,7,2337,-0.061934528392500535,-0.07653425673667172,0.00021280246722860818,0.07553756297669606,0.2887213518220383
BTC,IssTotUSD,7,2337,-0.13130039467050034,-0.13018898978080154,2.663447104163625e-10,0.00175304644745578,0.01116755514675534
BTC,FeeTotNtv,7,2337,0.06392882625922729,0.10922497631267038,1.2017491314304627e-07,0.1216854246509069,0.3608602248268274
BTC,NVT_Tx_Basis,7,2310,-0.13650092311036954,-0.14787322514652912,9.157959416395305e-13,0.0008437837944430028,0.009797893212930456
BTC,Activity_Velocity,7,2337,-0.04455557958691751,-0.00978256496560499,0.6364470509739832,0.24183527493670065,0.4951865153465775
BTC,FearGreedValue,7,2336,0.08171266828624302,0.04316317893969355,0.03697624327255493,0.1110581406032906,0.34110714613867826
BTC,Tx_Intensity,7,2337,-0.04455557958691751,-0.00978256496560499,0.6364470509739832,0.24183527493670065,0.4951865153465775
BTC,Velocity_Momentum,7,2330,-0.042097942184595775,-0.04935662517339342,0.01718985274381476,0.06916824348930443,0.2703849518218264
BTC,Log_Return,7,2336,0.004016860091664998,-0.010520213794620294,0.6113083070123912,0.8841483377751791,0.9039014698964342
BTC,Tx_Intensity_lag_1d,7,2336,-0.03839054383933447,-0.004413291782783744,0.8311780654965891,0.3175073756583735,0.5467220913859736
BTC,AdrActCnt_lag_1d,7,2336,0.04685521616494404,0.03935021440138396,0.057223424353681156,0.3291179950461588,0.5489643794871591
BTC,NVT_Tx_Basis_lag_1d,7,2309,-0.13733472154888957,-0.14746532150541627,1.0703902112154165e-12,0.0008146633728054335,0.009797893212930456
BTC,Velocity_Momentum_lag_1d,7,2329,-0.021941774640129856,-0.02076311080973877,0.316540769863669,0.3699017264169767,0.5506139987057588
BTC,Tx_Intensity_lag_3d,7,2334,-0.031000532684998514,0.002560921065460704,0.9015877806027267,0.4172986138656378,0.5883226359417189
BTC,AdrActCnt_lag_3d,7,2334,0.030261253854547924,0.029882343957224652,0.14896147625265863,0.5334908921212016,0.6867649674943809
BTC,NVT_Tx_Basis_lag_3d,7,2307,-0.13861706923450257,-0.14721388523080334,1.1964497959612274e-12,0.0007674671743926427,0.009797893212930456
BTC,Velocity_Momentum_lag_3d,7,2327,0.0010725521572225005,0.0081891783076971,0.6929668464333227,0.9632667406357809,0.9642119484051741
BTC,Tx_Intensity_lag_7d,7,2330,-0.027696784349584336,0.00668912667799626,0.7469111042538596,0.48289233612752225,0.644845280634089
BTC,AdrActCnt_lag_7d,7,2330,0.03812842285685052,0.027747851842785835,0.18059349260185065,0.4275401677773881,0.5931544038246227
BTC,NVT_Tx_Basis_lag_7d,7,2303,-0.13932275683335638,-0.14593979188020662,1.9572504614891407e-12,0.0007550455969419997,0.009797893212930456
BTC,Velocity_Momentum_lag_7d,7,2323,-0.004691312220227235,0.011842251803307368,0.568352283974799,0.83128051560584,0.8640891475861532
BTC,Tx_Intensity_lag_14d,7,2323,-0.0238380628583126,-0.00288227467390314,0.8895734383239571,0.5517759082099003,0.6912942479614467
BTC,AdrActCnt_lag_14d,7,2323,0.04768545491816932,0.028916956809357068,0.16353921121671589,0.2787741636276946,0.5301042695526489
BTC,NVT_Tx_Basis_lag_14d,7,2296,-0.14326033171072008,-0.14998383410334873,5.059301909729726e-13,0.0005308826282477279,0.009797893212930456
BTC,Velocity_Momentum_lag_14d,7,2316,-0.040475756434273265,-0.04122167606399664,0.0473050701364545,0.04524296066008122,0.20478392719826236
BTC,Tx_Intensity_lag_30d,7,2307,-0.013916966127365982,0.015227301441494784,0.4647595077423606,0.7363723949261444,0.7987088565117757
BTC,AdrActCnt_lag_30d,7,2307,0.04161419489666994,0.02058291457290361,0.32305872914390005,0.394282101756977,0.5768325547102711
BTC,NVT_Tx_Basis_lag_30d,7,2280,-0.16249205519925458,-0.1740950151443894,5.646766475923902e-17,9.301422906259638e-05,0.005332815799588859
BTC,Velocity_Momentum_lag_30d,7,2300,0.01113198971520065,0.02491878830551599,0.23224376469182342,0.6248216997026088,0.7164622156589915
BTC,Price_Dist_lag_30d,7,2307,0.08857308003179125,0.11123756423434823,8.479615107635228e-08,0.08421401765804727,0.30839450846274813
BTC,Price_Dist_lag_90d,7,2247,0.11327370507235543,0.058114347955807985,0.005859116424539787,0.08964956641358958,0.30839450846274813
BTC,Price_Dist_lag_182d,7,2155,0.03385506609971918,0.023732834177454865,0.2707917938002597,0.5948579763012207,0.7147926467418173
BTC,Price_vs_MA7,7,2331,0.02356740732017151,-0.003698129352028453,0.8583679212255937,0.5901739410618836,0.7147926467418173
BTC,Volatility_30d,7,2307,0.07751634393262191,0.03056643513125908,0.14218817125558947,0.10903575081284089,0.34110714613867826
BTC,ExchangeNetFlow,7,2337,-0.029984373643799408,0.00014365757881803148,0.9944618838075336,0.17534660927082824,0.41314543554222544
BTC,ExchangeNetFlow_7d_MA,7,2331,-0.06427824616138116,-0.059764242443001846,0.0038958257483477222,0.06716236792699119,0.26864947170796477
BTC,Puell_Multiple,7,1973,0.048577617890465906,0.03600718868269672,0.10984528821428256,0.4526309031767385,0.6178771059238017
