asset,feature,lag,granger_p,n,granger_q
ADA,Tx_Intensity_lag_7d,1,0.2407888370200159,2335,0.9378700171892318
ADA,Tx_Intensity_lag_7d,3,0.6285235590935547,2333,0.9378700171892318
ADA,Tx_Intensity_lag_7d,7,0.875888431607547,2329,0.9378700171892318
ADA,Tx_Intensity_lag_7d,14,0.901124615716811,2322,0.9378700171892318
ADA,AdrActCnt_lag_7d,1,0.5968505660352413,2335,0.9378700171892318
ADA,AdrActCnt_lag_7d,3,0.5421663303357345,2333,0.9378700171892318
ADA,AdrActCnt_lag_7d,7,0.5333040867905112,2329,0.9378700171892318
ADA,AdrActCnt_lag_7d,14,0.7498973812784052,2322,0.9378700171892318
ADA,NVT_Tx_Basis_lag_7d,1,0.1883978952185949,2308,0.9378700171892318
ADA,NVT_Tx_Basis_lag_7d,3,0.015141380682157694,2306,0.7808922394225669
ADA,NVT_Tx_Basis_lag_7d,7,0.02539693209548539,2302,0.7808922394225669
ADA,NVT_Tx_Basis_lag_7d,14,0.3104459352898832,2295,0.9378700171892318
ADA,Velocity_Momentum_lag_7d,1,0.38127123918702827,2328,0.9378700171892318
ADA,Velocity_Momentum_lag_7d,3,0.867145795209264,2326,0.9378700171892318
ADA,Velocity_Momentum_lag_7d,7,0.6376992001532156,2322,0.9378700171892318
ADA,Velocity_Momentum_lag_7d,14,0.7195245078815614,2315,0.9378700171892318
ADA,Tx_Intensity_lag_14d,1,0.2537336684931355,2328,0.9378700171892318
ADA,Tx_Intensity_lag_14d,3,0.6046824787758012,2326,0.9378700171892318
ADA,Tx_Intensity_lag_14d,7,0.7947026660754671,2322,0.9378700171892318
ADA,Tx_Intensity_lag_14d,14,0.6956600957416116,2315,0.9378700171892318
ADA,AdrActCnt_lag_14d,1,0.36268119812749466,2328,0.9378700171892318
ADA,AdrActCnt_lag_14d,3,0.8263606870663499,2326,0.9378700171892318
ADA,AdrActCnt_lag_14d,7,0.5137114323155803,2322,0.9378700171892318
ADA,AdrActCnt_lag_14d,14,0.5579547704561905,2315,0.9378700171892318
ADA,NVT_Tx_Basis_lag_14d,1,0.3872012465788077,2301,0.9378700171892318
ADA,NVT_Tx_Basis_lag_14d,3,0.3286784634830492,2299,0.9378700171892318
ADA,NVT_Tx_Basis_lag_14d,7,0.17043490123643126,2295,0.9378700171892318
ADA,NVT_Tx_Basis_lag_14d,14,0.1074083388321003,2288,0.9378700171892318
ADA,Velocity_Momentum_lag_14d,1,0.6339758667743044,2321,0.9378700171892318
ADA,Velocity_Momentum_lag_14d,3,0.6997781718377225,2319,0.9378700171892318
ADA,Velocity_Momentum_lag_14d,7,0.8891145691379967,2315,0.9378700171892318
ADA,Velocity_Momentum_lag_14d,14,0.843415278372647,2308,0.9378700171892318
ADA,Tx_Intensity_lag_30d,1,0.38709232459846926,2312,0.9378700171892318
ADA,Tx_Intensity_lag_30d,3,0.7248822819205649,2310,0.9378700171892318
ADA,Tx_Intensity_lag_30d,7,0.9428453099214098,2306,0.9565097347028796
ADA,Tx_Intensity_lag_30d,14,0.7203528869853175,2299,0.9378700171892318
ADA,AdrActCnt_lag_30d,1,0.0879743710571165,2312,0.9378700171892318
ADA,AdrActCnt_lag_30d,3,0.2918838747201277,2310,0.9378700171892318
ADA,AdrActCnt_lag_30d,7,0.25766877626031565,2306,0.9378700171892318
ADA,AdrActCnt_lag_30d,14,0.42031145682623305,2299,0.9378700171892318
ADA,NVT_Tx_Basis_lag_30d,1,0.1264016039473968,2285,0.9378700171892318
ADA,NVT_Tx_Basis_lag_30d,3,0.4226544682928701,2283,0.9378700171892318
ADA,NVT_Tx_Basis_lag_30d,7,0.03346681026096716,2279,0.7808922394225669
ADA,NVT_Tx_Basis_lag_30d,14,0.16424809212948607,2272,0.9378700171892318
ADA,Velocity_Momentum_lag_30d,1,0.5904356389313646,2305,0.9378700171892318
ADA,Velocity_Momentum_lag_30d,3,0.8062197030889557,2303,0.9378700171892318
ADA,Velocity_Momentum_lag_30d,7,0.8556366525953243,2299,0.9378700171892318
ADA,Velocity_Momentum_lag_30d,14,0.49513667449112475,2292,0.9378700171892318
ADA,Price_Dist_lag_30d,1,0.7304369767851323,2312,0.9378700171892318
ADA,Price_Dist_lag_30d,3,0.7851984905249829,2310,0.9378700171892318
ADA,Price_Dist_lag_30d,7,0.3281402125527656,2306,0.9378700171892318
ADA,Price_Dist_lag_30d,14,0.29489965244558936,2299,0.9378700171892318
ADA,Price_Dist_lag_90d,1,0.7186532659468097,2252,0.9378700171892318
ADA,Price_Dist_lag_90d,3,0.6335009017405762,2250,0.9378700171892318
ADA,Price_Dist_lag_90d,7,0.8449766399672181,2246,0.9378700171892318
ADA,Price_Dist_lag_90d,14,0.51566537051114,2239,0.9378700171892318
ADA,Price_Dist_lag_182d,1,0.31716868070605386,2160,0.9378700171892318
ADA,Price_Dist_lag_182d,3,0.08749500622158281,2158,0.9378700171892318
ADA,Price_Dist_lag_182d,7,0.3968800068658625,2154,0.9378700171892318
ADA,Price_Dist_lag_182d,14,0.010004396600103722,2147,0.7808922394225669
ADA,Price_vs_MA7,1,0.3479562181383539,2336,0.9378700171892318
ADA,Price_vs_MA7,3,0.7289470666090132,2334,0.9378700171892318
ADA,Price_vs_MA7,7,0.03336538273518565,2330,0.7808922394225669
ADA,Price_vs_MA7,14,0.48083186764179153,2323,0.9378700171892318
ADA,Volatility_30d,1,0.3655159339937514,2312,0.9378700171892318
ADA,Volatility_30d,3,0.716526875028443,2310,0.9378700171892318
ADA,Volatility_30d,7,0.6570482079504127,2306,0.9378700171892318
ADA,Volatility_30d,14,0.8160813990805349,2299,0.9378700171892318
ADA,StakingRatio,1,0.2461499903220119,2122,0.9378700171892318
ADA,StakingRatio,3,0.5317030696812258,2120,0.9378700171892318
ADA,StakingRatio,7,0.3986731708848471,2116,0.9378700171892318
ADA,StakingRatio,14,0.1967979964749625,2109,0.9378700171892318
