time,asset,PriceUSD,CapMrktCurUSD,TxCnt,AdrActCnt,CapMVRVCur,HashRate,FlowInExUSD,FlowOutExUSD,IssTotUSD,FeeTotNtv,NVT_Tx_Basis,Activity_Velocity,FearGreedValue
2025-04-17,btc,84940.5838538866,1686293103287.5042,555992.0,734302.0,1.9396573992306128,924148329.2792507,2718586402.158504,2855206447.790054,40612216.65513953,6.04852215,4215107.642701392,0.7571707553567878,30.0
2025-04-18,btc,84434.7727463472,1676287312525.932,512005.0,669757.0,1.927799316975245,821465177.7158377,1726545241.4552522,1609540385.4292688,35884778.41719756,5.31676956,4119009.2720381264,0.7644638279256506,33.0
2025-04-19,btc,85124.721496201,1690021871643.1616,548341.0,618431.0,1.9434572717156722,847825370.5576409,1265669050.5420902,1257956233.9389365,36976050.89991231,6.34043577,4103973.179686266,0.8866648017321254,32.0
2025-04-20,btc,85101.7461545879,1689598441895.586,468036.0,563502.0,1.9426378432392224,753499805.3802223,1260778589.7899776,1357630364.0098155,32710983.678169724,5.55323301,4129676.1451882864,0.8305844522290959,37.0
2025-04-21,btc,87360.7198933372,1734482195997.8018,437926.0,680575.0,1.9927995689339313,771877846.40168,2175417486.6886063,2426722563.712123,34398283.458001524,6.41246794,4255687.875392086,0.6434647173346068,39.0
2025-04-22,btc,93495.6106890707,1856331181814.3782,514191.0,792265.0,2.1282639230663345,949532272.3473084,3609399705.59868,3495740546.4963846,45286936.42751862,6.39689005,4548878.866645096,0.6490139031763362,47.0
2025-04-23,btc,93695.7404772063,1860338085945.4592,425004.0,716670.0,2.1261098636422497,698365673.494388,2812471228.0109687,3333025622.2306666,33379107.545004744,11.38810925,4596114.113485993,0.59302607894847,72.0
2025-04-24,btc,93849.8817790766,1863439928975.8306,460328.0,771761.0,2.126194044694234,863768069.1518909,3292591260.231636,3575661337.343032,41352604.158905625,8.78504718,4593561.553078771,0.5964644494863047,63.0
2025-04-25,btc,94771.4128007014,1881780070424.8152,385154.0,818112.0,2.139689228562994,882146110.1733487,2697009233.1755013,4128063507.403542,42647135.76031563,6.04167583,4643194.419116908,0.4707839513416256,60.0
2025-04-26,btc,94694.5111014027,1880292468574.8242,330013.0,636351.0,2.1368454882429617,814759947.9993888,1657078260.0785847,1822661702.0011096,39357406.1765205,4.46749753,4624342.8086664025,0.518602155099937,65.0
2025-04-27,btc,93812.876534775,1862825953569.6738,432684.0,614897.0,2.116303078347162,827011978.2875143,1434202326.204844,1198081103.664987,39577307.2881082,5.15850616,4529914.629302947,0.7036690697791662,61.0
2025-04-28,btc,95066.0211867329,1887751317170.654,421997.0,801464.0,2.1414599497479094,863768069.1518909,2257347777.533,2311718297.076268,41888465.58540419,6.65662833,4549969.129817252,0.5265326951678428,54.0
