time,asset,PriceUSD,CapMrktCurUSD,TxCnt,AdrActCnt,CapMVRVCur,SplyCur,NVT_Tx_Basis,Activity_Velocity,FearGreedValue,ActiveStakeADA
2025-03-13,ada,0.702325238379811,24968324054.510143,30144.0,23389.0,1.0847990151082134,35550942341.3423,542782.4893043212,1.2888109795202873,45.0,21673243447.482265
2025-03-14,ada,0.739764544820233,26300643894.070362,28404.0,23603.0,1.1402918261034856,35552722928.16029,576600.0604725985,1.2034063466508496,27.0,21673243447.482265
2025-03-15,ada,0.747862804471732,26589071504.694855,29416.0,22799.0,1.1508388428595124,35553408119.38974,588123.213897243,1.2902320277205142,46.0,21637834989.75987
2025-03-16,ada,0.70511766203651,25070059997.173904,29084.0,22647.0,1.0899671622017078,35554434879.37452,563879.8982075909,1.2842319070958625,30.0,21637834989.75987
2025-03-17,ada,0.7178269849184791,25522497589.738235,27852.0,20719.0,1.1091623449492671,35555221698.21567,583926.6996880058,1.3442733722670013,32.0,21637834989.75987
2025-03-18,ada,0.702287242990811,24970748960.159565,26437.0,22760.0,1.0874884959004223,35556318599.51967,580519.3355765977,1.161555360281195,34.0,21637834989.75987
2025-03-19,ada,0.7436139450319631,26440645852.105824,28722.0,23477.0,1.1488332320195256,35556952675.18056,622040.8442608177,1.2234101461004387,32.0,21637834989.75987
2025-03-20,ada,0.716031140866843,25460393981.532997,26903.0,23889.0,1.1116496632064705,35557662967.99618,605821.7332744052,1.1261668550378836,49.0,21655503103.340813
2025-03-21,ada,0.705191852672533,25076069908.45883,32529.0,23009.0,1.095926008041243,35559216705.95832,604150.1021675228,1.413751140857925,31.0,21655503103.340813
2025-03-22,ada,0.699898962214735,24887981843.006554,26560.0,20713.0,1.0889917101740647,35559392407.515396,610882.939618727,1.2822864867474533,32.0,21655503103.340813
2025-03-23,ada,0.7079745980754311,25175383510.90142,27658.0,20948.0,1.1014803760983254,35559727113.56957,624664.4668945635,1.3203169753675768,30.0,21655503103.340813
2025-03-24,ada,0.729364053260491,25936270495.715996,33110.0,23987.0,1.132901168781032,35560116213.25805,650975.2083264665,1.3803310126318422,45.0,21655503103.340813
2025-03-25,ada,0.7441835127199901,26463730532.769127,32199.0,26012.0,1.1512933135056727,35560758980.05885,673448.3596212756,1.2378517607258188,46.0,21726082507.63852
2025-03-26,ada,0.726002886562089,25833953580.965816,34232.0,27298.0,1.1241293826310257,35583816619.930824,659730.271285862,1.2540112828778665,47.0,21726082507.63852
2025-03-27,ada,0.7381063730735491,26264870236.05629,27019.0,20546.0,1.141865040923585,35584126074.79154,676725.9547334115,1.315049157986956,40.0,21726082507.63852
2025-03-28,ada,0.7052322088597571,25095605939.61844,28253.0,22013.0,1.0940976784074303,35584883424.70043,659861.211725308,1.2834688593104076,44.0,21726082507.63852
2025-03-29,ada,0.671855941848106,23908549895.059547,24900.0,18378.0,1.0447618888338042,35585827862.58192,634111.1618987995,1.354880835781913,26.0,21726082507.63852
2025-03-30,ada,0.659487922175427,23468975071.44155,24973.0,21518.0,1.0307877348901313,35586663958.94767,665419.0968516509,1.1605632493726183,32.0,21766071182.100258
2025-03-31,ada,0.6608039558052481,23517940928.99464,32448.0,25002.0,1.0357041052794083,35589891256.531525,697923.8783569647,1.2978161747060235,34.0,21766071182.100258
